raw_name,canonical_name
IQEQ,IQ EQ US FUND SERVICES LLC
IQEQ FUND SERVICES,IQ EQ US FUND SERVICES LLC
J AND M FINANCE LLC,J AND M FINANCE LLC
J. ARTHUR GREENFIELD,J. ARTHUR GREENFIELD
J.P. MORGAN CHASE BANK NATIONAL ASSOCIATION,J.P. MORGAN SECURITIES INC.
J.P. MORGAN HEDGE FUND SERVICES,J.P. MORGAN SECURITIES INC.
J.P. MORGAN PRIVATE EQUITY FUND SERVICES,J.P. MORGAN SECURITIES INC.
J.P. MORGAN SECURITIES INC.,J.P. MORGAN SECURITIES INC.
JAM OUTSOURCE SERVICES LLC,JAM OUTSOURCE SERVICES LLC
JGM FUND SERVICES,JGM FUND SERVICES
JJR  ASSOCIATES LLC,JJR  ASSOCIATES LLC
JOHN W. RYAN,JOHN W. RYAN
JP MORGAN CHASE BANK N.A.,J.P. MORGAN SECURITIES INC.
JP MORGAN CHASE BANK NATIONAL ASSOCIATION,J.P. MORGAN SECURITIES INC.
JP MORGAN PRIVATE EQUITY  REAL ESTATE SERVICES,J.P. MORGAN SECURITIES INC.
JP MORGAN PRIVATE INVESTMENTS INC,J.P. MORGAN SECURITIES INC.
JPMORGAN CHASE BANK N. A.,J.P. MORGAN SECURITIES INC.
JPMORGAN CHASE BANK N.A.,J.P. MORGAN SECURITIES INC.
JPMORGAN PRIVATE EQUITY AND REAL ESTATE SERVICES,J.P. MORGAN SECURITIES INC.
JPMORGAN PRIVATE EQUITY FUND SERVICE,J.P. MORGAN SECURITIES INC.
JPMORGAN PRIVATE EQUITY FUND SERVICES,J.P. MORGAN SECURITIES INC.
JPMORGAN PRIVATE EQUTY FUND SERVICES,J.P. MORGAN SECURITIES INC.
JSQ ADMINISTRATIVE SERVICES LLC,JSQ ADMINISTRATIVE SERVICES LLC
JTC AMERICAS,JTC FINANCIAL GROUP
JTC FINANCIAL GROUP,JTC FINANCIAL GROUP
JTC FUND SOLUTIONS RSA PTY LTD,JTC FINANCIAL GROUP
JTC GROUP,JTC FINANCIAL GROUP
JTC PLC,JTC FINANCIAL GROUP
JTC USA HOLDINGS INC,JTC FINANCIAL GROUP
JUNIPER SQUARE,JUNIPER SQUARE INC.
JUNIPER SQUARE ADMINISTRATION SERVICES,JUNIPER SQUARE INC.
JUNIPER SQUARE FUND ADMINISTRATION,JUNIPER SQUARE INC.
JUNIPER SQUARE INC,JUNIPER SQUARE INC.
JUNIPER SQUARE INC.,JUNIPER SQUARE INC.
KAUFMAN ROSSIN ALTERNATIVE INVESTMENT SERVICES LLC,KAUFMAN ROSSIN ALTERNATIVE INVESTMENT SERVICES LLC
KELA ACCOUNTING,KELA CONSULTING LLC
KELA CONSULTING LLC,KELA CONSULTING LLC
KIMBERLY A. KOENIG,KIMBERLY A. KOENIG
KRANZ  ASSOCIATES,KRANZ  ASSOCIATES LLC
KRANZ  ASSOCIATES HOLDINGS LLC,KRANZ  ASSOCIATES LLC
KRANZ  ASSOCIATES LLC,KRANZ  ASSOCIATES LLC
KRANZ CONSULTING,KRANZ  ASSOCIATES LLC
KRYPTON FUND SERVICES LTD.,KRYPTON FUND SERVICES LTD.
KRYPTON FUND SERVICES USA INC.,KRYPTON FUND SERVICES LTD.
LANGHAM HALL,LANGHAM HALL US LLC
LANGHAM HALL US LLC,LANGHAM HALL US LLC
LANGHAMHALL,LANGHAM HALL US LLC
LEVERPOINT,LEVERPOINT MANAGEMENT LLC
LEVERPOINT MANAGEMENT LLC,LEVERPOINT MANAGEMENT LLC
LEVERPOINT MANAGEMENT LLC DBA ULTIMUS LEVERPOINT PRIVATE FUND SOLUTIONS,LEVERPOINT MANAGEMENT LLC
LICCAR,LICCAR FUND SERVICES
LICCAR CERTIFIED PUBLIC ACCOUNTANTS,LICCAR FUND SERVICES
LICCAR FUND SERVICES,LICCAR FUND SERVICES
LICCAR FUND SERVICES C/O WEWORK,LICCAR FUND SERVICES
LINNOVATE PARTNERS LIMITED,LINNOVATE PARTNERS LIMITED
LISA J. LOBREE LLC,LISA J. LOBREE LLC
LOANWELL,LOANWELL
LOON CREEK CAPITAL GROUP,LOON CREEK CAPITAL GROUP
LUCAS HORSFALL,LUCAS HORSFALL
LUCASHORSFALL,LUCAS HORSFALL
MACIAS GINI  OCONNELL LLP,MACIAS GINI  OCONNELL LLP
MAPLES FUND SERVICES,MAPLES FUND SERVICES MA INC.
MAPLES FUND SERVICES MA INC.,MAPLES FUND SERVICES MA INC.
MARITIME TAX  ACCOUNTING SERVICES INC.,MARITIME TAX  ACCOUNTING SERVICES INC.
MBD FINANCIAL PARTNERS LLC,MBD FINANCIAL PARTNERS LLC
MBX CAPITAL II GP LLC,MBX CAPITAL II GP LLC
MERITAGE ACCOUNTING GROUP,MERITAGE AG LLC
MERITAGE AG LLC,MERITAGE AG LLC
MERITAGE AG LLC D/B/A MERITAGE ACCOUNTING GROUP,MERITAGE AG LLC
MERITAGE AG LLC DBA MERITAGE ACCOUNTING GROUP,MERITAGE AG LLC
MG STOVER  CO.,MG STOVER  CO.
MICHAEL J. LICCAR  COMPANY LLC,MICHAEL J. LICCAR  COMPANY LLC
MOLTO CAPITAL LLC,MOLTO CAPITAL LLC
MORGAN STANLEY FUND SERVICES,MORGAN STANLEY FUND SERVICES
MORGAN STANLEY FUND SERVICES USA LLC,MORGAN STANLEY FUND SERVICES
MOSKOWITZ  ASSOCIATES CPAS PC,MOSKOWITZ  ASSOCIATES CPAS PC
MUFG CAPITAL ANALYTICS LLC,MUFG CAPITAL ANALYTICS LLC
MUTUAL SHAREHOLDER SERVICES LLC,MUTUAL SHAREHOLDER SERVICES LLC
NAC CONSULTING,NAV CONSULTING INC
NAV,NAV CONSULTING INC
NAV CONSUILTING INC.,NAV CONSULTING INC
