Unnamed: 0,name,lawyer_id,firm_id,profile_url
130,Michael B. Gray's Lawyer Profile,80215,3806,https://www.bestlawyers.com/lawyers/michael-b-gray/80215
135,Y. Shukie Grossman's Lawyer Profile,60057,14163,https://www.bestlawyers.com/lawyers/y-shukie-grossman/60057
140,Mary B. Kuusisto's Lawyer Profile,79078,13804,https://www.bestlawyers.com/lawyers/mary-b-kuusisto/79078
145,Basil V. Godellas's Lawyer Profile,128502,3938,https://www.bestlawyers.com/lawyers/basil-v-godellas/128502
150,Jonathan L. Grob's Lawyer Profile,167328,7156,https://www.bestlawyers.com/lawyers/jonathan-l-jon-grob/167328
155,John M. Ferguson's Lawyer Profile,215273,16996,https://www.bestlawyers.com/lawyers/john-m-ferguson/215273
160,Megan M. Devaney's Lawyer Profile,336501,3938,https://www.bestlawyers.com/lawyers/megan-m-devaney/336501
165,Peter Laybourn's Lawyer Profile,184836,17395,https://www.bestlawyers.com/lawyers/peter-laybourn/184836
170,Jeffrey N. Pomerantz's Lawyer Profile,162077,29259,https://www.bestlawyers.com/lawyers/jeffrey-n-jeff-pomerantz/162077
175,David W. Tegeler's Lawyer Profile,50252,13804,https://www.bestlawyers.com/lawyers/david-w-tegeler/50252
180,Andrew Wright's Lawyer Profile,138944,3969,https://www.bestlawyers.com/lawyers/andrew-wright/138944
185,Timothy F. Silva's Lawyer Profile,112596,20955,https://www.bestlawyers.com/lawyers/timothy-f-silva/112596
190,Howard J. Beber's Lawyer Profile,117809,13804,https://www.bestlawyers.com/lawyers/howard-j-beber/117809
195,Willa Cohen Bruckner's Lawyer Profile,136290,29201,https://www.bestlawyers.com/lawyers/willa-cohen-bruckner/136290
200,Heather S. Cruz's Lawyer Profile,59879,3851,https://www.bestlawyers.com/lawyers/heather-s-cruz/59879
205,Timothy R. Damschroder's Lawyer Profile,46681,4415,https://www.bestlawyers.com/lawyers/timothy-r-damschroder/46681
210,Kristin P. Hinson's Lawyer Profile,66061,29201,https://www.bestlawyers.com/lawyers/kristin-p-kris-hinson/66061
215,Chris Hall's Lawyer Profile,117805,9936,https://www.bestlawyers.com/lawyers/chris-hall/117805
220,Marc E. Elovitz's Lawyer Profile,179578,110170,https://www.bestlawyers.com/lawyers/marc-e-elovitz/179578
225,David Hooper's Lawyer Profile,115165,31214,https://www.bestlawyers.com/lawyers/david-hooper/115165
230,Marguerite R. Lombardo's Lawyer Profile,243016,3969,https://www.bestlawyers.com/lawyers/marguerite-r-lombardo/243016
235,Lance A. Zinman's Lawyer Profile,113784,3884,https://www.bestlawyers.com/lawyers/lance-a-zinman/113784
240,John B. Ayer's Lawyer Profile,114126,17395,https://www.bestlawyers.com/lawyers/john-b-ayer/114126
245,Andrew W. Macleod's Lawyer Profile,197105,4464,https://www.bestlawyers.com/lawyers/andrew-w-macleod/197105
250,Kenneth B. Tillou's Lawyer Profile,63107,15028,https://www.bestlawyers.com/lawyers/kenneth-b-tillou/63107
255,Norm Champ's Lawyer Profile,273133,3969,https://www.bestlawyers.com/lawyers/norm-champ/273133
260,Stephen K. Roddenberry's Lawyer Profile,12503,9499,https://www.bestlawyers.com/lawyers/stephen-k-roddenberry/12503
